distance_km,nominal_speed_kmph,slope_deg,rainfall_mm,risk_score,elevation_m,vehicle_type,nominal_time_mins,actual_time_mins,delay_mins,delay_probability,primary_delay_cause
50.51,34.5,16.0,6.95,0.309,2100,Light Disaster Utility (4WD),87.8,107.9,20.0,0.227,Standard Mountain Traffic Flow
68.15,15.0,31.4,31.09,0.847,4170,Heavy Supply Truck (16T),272.6,828.6,556.0,0.639,Active Landslide Clearance / Road Blockage
519.78,33.8,21.0,15.59,0.621,1650,Heavy Supply Truck (16T),924.1,1622.7,698.7,0.458,Steep Mountain Grade & Hairpin Bends
431.48,45.0,8.5,71.99,0.536,350,4x4 Hill Freight Carrier,575.3,1113.7,538.4,0.483,Active Landslide Clearance / Road Blockage
285.07,45.0,22.0,68.19,0.906,1400,4x4 Hill Freight Carrier,380.1,1018.6,638.5,0.736,Torrential Rainfall & Reduced Visibility
141.06,30.0,26.5,14.18,0.655,2450,4x4 Hill Freight Carrier,282.1,513.0,230.9,0.48,Steep Mountain Grade & Hairpin Bends
99.6,22.5,26.5,1.93,0.538,2450,Heavy Supply Truck (16T),265.6,407.5,141.9,0.38,Steep Mountain Grade & Hairpin Bends
150.97,51.7,6.0,11.44,0.264,320,Light Disaster Utility (4WD),175.0,210.5,35.5,0.202,Standard Mountain Traffic Flow
57.38,30.0,16.0,62.5,0.669,2100,4x4 Hill Freight Carrier,114.8,239.7,125.0,0.562,Torrential Rainfall & Reduced Visibility
86.8,20.0,31.4,43.4,0.872,4170,Refrigerated Medical Van,260.4,642.6,382.2,0.676,Steep Mountain Grade & Hairpin Bends
48.75,33.8,12.8,35.17,0.498,240,Heavy Supply Truck (16T),86.7,141.4,54.8,0.401,Standard Mountain Traffic Flow
101.15,20.0,14.5,20.83,0.282,1550,Refrigerated Medical Van,303.4,384.6,81.2,0.228,Standard Mountain Traffic Flow
77.62,23.0,31.4,21.44,0.788,4170,Light Disaster Utility (4WD),202.5,435.1,232.6,0.584,Steep Mountain Grade & Hairpin Bends
242.38,51.7,4.2,59.29,0.321,95,Light Disaster Utility (4WD),281.0,422.4,141.4,0.313,Standard Mountain Traffic Flow
48.39,51.7,12.8,91.34,0.775,240,Light Disaster Utility (4WD),56.1,330.1,274.0,0.68,Active Landslide Clearance / Road Blockage
472.09,33.8,18.0,87.42,0.807,1500,Heavy Supply Truck (16T),839.3,2118.6,1279.3,0.696,Torrential Rainfall & Reduced Visibility
351.57,33.8,18.0,58.67,0.775,1500,Heavy Supply Truck (16T),625.0,1440.0,815.0,0.63,Standard Mountain Traffic Flow
422.2,45.0,8.5,33.97,0.38,350,Refrigerated Medical Van,562.9,816.2,253.3,0.317,Standard Mountain Traffic Flow
60.55,23.0,31.4,61.92,0.957,4170,Light Disaster Utility (4WD),158.0,440.6,282.6,0.763,Torrential Rainfall & Reduced Visibility
481.06,51.7,18.0,14.51,0.668,1500,Light Disaster Utility (4WD),557.7,1108.1,550.3,0.49,Active Landslide Clearance / Road Blockage
85.9,23.0,31.4,23.88,0.846,4170,Light Disaster Utility (4WD),224.1,660.7,436.6,0.628,Active Landslide Clearance / Road Blockage
421.94,51.7,18.0,18.54,0.552,1500,Light Disaster Utility (4WD),489.2,855.1,365.9,0.414,Active Landslide Clearance / Road Blockage
107.69,30.0,24.2,37.07,0.829,3200,4x4 Hill Freight Carrier,215.4,617.1,401.7,0.636,Active Landslide Clearance / Road Blockage
304.33,45.0,22.0,38.77,0.858,1400,Refrigerated Medical Van,405.8,977.2,571.4,0.659,Steep Mountain Grade & Hairpin Bends
156.43,45.0,4.2,15.72,0.187,95,Refrigerated Medical Van,208.6,241.2,32.6,0.154,Standard Mountain Traffic Flow
77.0,20.0,31.4,9.46,0.767,4170,Refrigerated Medical Van,231.0,564.9,333.8,0.551,Active Landslide Clearance / Road Blockage
313.78,33.8,22.0,10.63,0.666,1400,Heavy Supply Truck (16T),557.8,1017.2,459.4,0.482,Steep Mountain Grade & Hairpin Bends
37.69,30.0,16.0,0.32,0.449,2100,4x4 Hill Freight Carrier,75.4,104.0,28.7,0.315,Standard Mountain Traffic Flow
637.73,51.7,21.0,111.62,0.975,1650,Light Disaster Utility (4WD),739.4,2281.7,1542.3,0.85,Torrential Rainfall & Reduced Visibility
81.19,30.0,24.2,22.05,0.642,3200,Refrigerated Medical Van,162.4,297.4,135.0,0.483,Steep Mountain Grade & Hairpin Bends
382.42,33.8,18.0,63.59,0.937,1500,Heavy Supply Truck (16T),679.9,1934.6,1254.7,0.751,Active Landslide Clearance / Road Blockage
62.49,34.5,16.0,8.63,0.53,2100,Light Disaster Utility (4WD),108.7,168.8,60.1,0.384,Standard Mountain Traffic Flow
272.43,45.0,8.5,32.64,0.333,350,Refrigerated Medical Van,363.2,502.8,139.5,0.282,Standard Mountain Traffic Flow
195.01,45.0,4.2,46.12,0.392,95,4x4 Hill Freight Carrier,260.0,420.8,160.8,0.343,Standard Mountain Traffic Flow
742.06,51.7,21.0,31.39,0.666,1650,Light Disaster Utility (4WD),860.4,1751.9,891.6,0.513,Active Landslide Clearance / Road Blockage
424.47,33.8,8.5,21.58,0.251,350,Heavy Supply Truck (16T),754.6,936.0,181.3,0.208,Standard Mountain Traffic Flow
98.36,30.0,26.5,27.19,0.689,2450,4x4 Hill Freight Carrier,196.7,384.3,187.6,0.523,Steep Mountain Grade & Hairpin Bends
60.67,22.5,16.0,12.69,0.432,2100,Heavy Supply Truck (16T),161.8,246.6,84.8,0.321,Standard Mountain Traffic Flow
202.74,33.8,22.0,16.27,0.679,1400,Heavy Supply Truck (16T),360.4,677.3,316.9,0.5,Steep Mountain Grade & Hairpin Bends
477.5,45.0,21.0,2.1,0.634,1650,4x4 Hill Freight Carrier,636.7,1092.5,455.8,0.447,Steep Mountain Grade & Hairpin Bends
280.97,51.7,22.0,79.27,0.917,1400,Light Disaster Utility (4WD),325.8,901.1,575.3,0.761,Torrential Rainfall & Reduced Visibility
62.57,33.8,12.8,12.87,0.392,240,Heavy Supply Truck (16T),111.2,183.3,72.1,0.294,Active Landslide Clearance / Road Blockage
265.51,51.7,22.0,38.05,0.797,1400,Light Disaster Utility (4WD),307.8,895.2,587.3,0.615,Active Landslide Clearance / Road Blockage
223.36,45.0,22.0,17.62,0.698,1400,Refrigerated Medical Van,297.8,750.1,452.3,0.515,Active Landslide Clearance / Road Blockage
71.69,15.0,31.4,59.29,0.947,4170,Heavy Supply Truck (16T),286.7,1025.2,738.4,0.752,Active Landslide Clearance / Road Blockage
111.55,15.0,14.5,130.05,0.775,1550,Heavy Supply Truck (16T),446.2,1380.1,933.9,0.738,Active Landslide Clearance / Road Blockage
336.04,45.0,18.0,23.19,0.627,1500,4x4 Hill Freight Carrier,448.1,809.6,361.5,0.474,Standard Mountain Traffic Flow
161.5,45.0,6.0,0.21,0.193,320,4x4 Hill Freight Carrier,215.3,233.3,18.0,0.135,Standard Mountain Traffic Flow
167.78,45.0,6.0,8.03,0.226,320,4x4 Hill Freight Carrier,223.7,257.3,33.6,0.17,Standard Mountain Traffic Flow
85.51,23.0,31.4,0.02,0.772,4170,Light Disaster Utility (4WD),223.1,551.9,328.8,0.54,Active Landslide Clearance / Road Blockage
150.17,33.8,6.0,7.98,0.163,320,Heavy Supply Truck (16T),267.0,294.0,27.0,0.126,Standard Mountain Traffic Flow
234.82,45.0,22.0,14.19,0.73,1400,4x4 Hill Freight Carrier,313.1,619.8,306.7,0.533,Steep Mountain Grade & Hairpin Bends
487.53,33.8,18.0,70.71,0.699,1500,Heavy Supply Truck (16T),866.7,1967.0,1100.3,0.595,Active Landslide Clearance / Road Blockage
506.25,45.0,18.0,1.86,0.523,1500,Refrigerated Medical Van,675.0,1017.8,342.8,0.369,Standard Mountain Traffic Flow
544.51,45.0,21.0,10.62,0.596,1650,Refrigerated Medical Van,726.0,1222.8,496.8,0.433,Steep Mountain Grade & Hairpin Bends
132.12,20.0,14.5,3.92,0.171,1550,Refrigerated Medical Van,396.4,430.6,34.2,0.126,Standard Mountain Traffic Flow
267.55,45.0,22.0,3.97,0.69,1400,Refrigerated Medical Van,356.7,807.8,451.0,0.489,Active Landslide Clearance / Road Blockage
52.98,23.0,31.4,93.33,1.0,4170,Light Disaster Utility (4WD),138.2,517.0,378.8,0.84,Active Landslide Clearance / Road Blockage
249.51,45.0,4.2,5.55,0.221,95,Refrigerated Medical Van,332.7,377.0,44.3,0.163,Standard Mountain Traffic Flow
465.39,45.0,8.5,71.97,0.571,350,Refrigerated Medical Van,620.5,1206.3,585.8,0.508,Torrential Rainfall & Reduced Visibility
74.18,51.7,12.8,65.73,0.581,240,Light Disaster Utility (4WD),86.0,194.1,108.0,0.505,Torrential Rainfall & Reduced Visibility
65.96,20.0,31.4,14.99,0.735,4170,Refrigerated Medical Van,197.9,394.8,196.9,0.537,Steep Mountain Grade & Hairpin Bends
73.23,20.0,31.4,5.23,0.696,4170,Refrigerated Medical Van,219.7,514.2,294.5,0.495,Active Landslide Clearance / Road Blockage
368.75,45.0,8.5,47.75,0.497,350,4x4 Hill Freight Carrier,491.7,832.3,340.6,0.419,Standard Mountain Traffic Flow
454.58,51.7,18.0,31.11,0.653,1500,Light Disaster Utility (4WD),527.1,1000.2,473.2,0.504,Standard Mountain Traffic Flow
133.49,45.0,6.0,14.21,0.217,320,4x4 Hill Freight Carrier,178.0,208.8,30.9,0.173,Standard Mountain Traffic Flow
588.31,33.8,21.0,1.22,0.598,1650,Heavy Supply Truck (16T),1045.9,1715.8,669.9,0.421,Steep Mountain Grade & Hairpin Bends
51.47,20.0,31.4,5.92,0.764,4170,Refrigerated Medical Van,154.4,311.3,156.9,0.544,Steep Mountain Grade & Hairpin Bends
105.31,23.0,14.5,88.57,0.554,1550,Light Disaster Utility (4WD),274.7,548.4,273.7,0.521,Torrential Rainfall & Reduced Visibility
302.25,45.0,18.0,119.31,0.97,1500,4x4 Hill Freight Carrier,403.0,1372.9,970.0,0.858,Active Landslide Clearance / Road Blockage
725.04,45.0,21.0,12.58,0.592,1650,4x4 Hill Freight Carrier,966.7,1628.7,662.0,0.433,Steep Mountain Grade & Hairpin Bends
139.84,51.7,6.0,83.45,0.578,320,Light Disaster Utility (4WD),162.1,326.6,164.4,0.53,Torrential Rainfall & Reduced Visibility
223.56,45.0,6.0,65.54,0.541,320,Refrigerated Medical Van,298.1,553.7,255.6,0.477,Torrential Rainfall & Reduced Visibility
81.44,30.0,26.5,12.23,0.653,2450,4x4 Hill Freight Carrier,162.9,400.0,237.1,0.475,Active Landslide Clearance / Road Blockage
267.66,45.0,22.0,13.2,0.718,1400,4x4 Hill Freight Carrier,356.9,694.7,337.8,0.522,Steep Mountain Grade & Hairpin Bends
739.84,45.0,21.0,14.44,0.604,1650,4x4 Hill Freight Carrier,986.4,1693.7,707.3,0.444,Steep Mountain Grade & Hairpin Bends
69.62,22.5,24.2,6.57,0.607,3200,Heavy Supply Truck (16T),185.7,356.7,171.0,0.435,Active Landslide Clearance / Road Blockage
51.27,30.0,16.0,35.73,0.472,2100,Refrigerated Medical Van,102.5,163.3,60.7,0.384,Standard Mountain Traffic Flow
82.19,30.0,24.2,52.12,0.821,3200,Refrigerated Medical Van,164.4,592.8,428.4,0.653,Active Landslide Clearance / Road Blockage
57.42,23.0,31.4,3.49,0.662,4170,Light Disaster Utility (4WD),149.8,266.6,116.8,0.469,Steep Mountain Grade & Hairpin Bends
304.99,33.8,22.0,12.6,0.645,1400,Heavy Supply Truck (16T),542.2,970.3,428.0,0.47,Steep Mountain Grade & Hairpin Bends
289.46,33.8,18.0,28.23,0.69,1500,Heavy Supply Truck (16T),514.6,1101.7,587.1,0.526,Active Landslide Clearance / Road Blockage
44.97,22.5,16.0,2.52,0.367,2100,Heavy Supply Truck (16T),119.9,153.1,33.2,0.261,Standard Mountain Traffic Flow
84.56,20.0,14.5,72.52,0.431,1550,Refrigerated Medical Van,253.7,434.7,181.0,0.41,Torrential Rainfall & Reduced Visibility
77.21,30.0,26.5,19.84,0.641,2450,4x4 Hill Freight Carrier,154.4,280.6,126.2,0.478,Steep Mountain Grade & Hairpin Bends
112.96,34.5,24.2,5.29,0.605,3200,Light Disaster Utility (4WD),196.5,328.8,132.3,0.431,Steep Mountain Grade & Hairpin Bends
317.36,45.0,22.0,6.91,0.694,1400,4x4 Hill Freight Carrier,423.1,1005.7,582.6,0.496,Active Landslide Clearance / Road Blockage
641.41,45.0,21.0,22.94,0.774,1650,4x4 Hill Freight Carrier,855.2,1817.1,961.9,0.577,Steep Mountain Grade & Hairpin Bends
201.42,45.0,22.0,5.45,0.66,1400,Refrigerated Medical Van,268.6,479.0,210.4,0.47,Steep Mountain Grade & Hairpin Bends
101.8,30.0,26.5,42.79,0.781,2450,Refrigerated Medical Van,203.6,455.9,252.3,0.611,Steep Mountain Grade & Hairpin Bends
184.62,51.7,4.2,91.14,0.515,95,Light Disaster Utility (4WD),214.0,415.5,201.4,0.498,Torrential Rainfall & Reduced Visibility
136.0,30.0,26.5,1.53,0.662,2450,4x4 Hill Freight Carrier,272.0,576.1,304.1,0.465,Active Landslide Clearance / Road Blockage
60.78,45.0,12.8,7.72,0.396,240,4x4 Hill Freight Carrier,81.0,108.6,27.6,0.289,Standard Mountain Traffic Flow
169.98,51.7,6.0,12.56,0.279,320,Light Disaster Utility (4WD),197.1,241.1,44.1,0.214,Standard Mountain Traffic Flow
144.36,23.0,14.5,17.66,0.141,1550,Light Disaster Utility (4WD),376.6,427.5,50.9,0.125,Standard Mountain Traffic Flow
308.89,51.7,22.0,25.25,0.743,1400,Light Disaster Utility (4WD),358.1,932.6,574.4,0.558,Active Landslide Clearance / Road Blockage
437.84,45.0,8.5,12.55,0.388,350,4x4 Hill Freight Carrier,583.8,790.2,206.4,0.29,Standard Mountain Traffic Flow
187.66,45.0,4.2,47.39,0.299,95,Refrigerated Medical Van,250.2,355.0,104.7,0.28,Standard Mountain Traffic Flow
466.78,45.0,8.5,29.28,0.436,350,4x4 Hill Freight Carrier,622.4,990.3,368.0,0.349,Active Landslide Clearance / Road Blockage
191.62,45.0,4.2,1.58,0.157,95,4x4 Hill Freight Carrier,255.5,272.2,16.7,0.113,Standard Mountain Traffic Flow
45.42,30.0,16.0,33.6,0.595,2100,Refrigerated Medical Van,90.8,163.2,72.4,0.467,Standard Mountain Traffic Flow
56.69,51.7,12.8,30.21,0.455,240,Light Disaster Utility (4WD),65.7,101.1,35.4,0.364,Standard Mountain Traffic Flow
57.69,20.0,31.4,41.51,0.815,4170,4x4 Hill Freight Carrier,173.1,502.7,329.6,0.633,Active Landslide Clearance / Road Blockage
235.68,45.0,4.2,19.77,0.21,95,Refrigerated Medical Van,314.2,375.6,61.4,0.177,Standard Mountain Traffic Flow
58.98,23.0,31.4,102.58,1.0,4170,Light Disaster Utility (4WD),153.8,478.9,325.1,0.854,Torrential Rainfall & Reduced Visibility
492.86,45.0,18.0,22.34,0.48,1500,Refrigerated Medical Van,657.1,1011.0,353.9,0.369,Standard Mountain Traffic Flow
200.74,45.0,6.0,8.72,0.203,320,4x4 Hill Freight Carrier,267.7,303.6,36.0,0.155,Standard Mountain Traffic Flow
73.65,34.5,24.2,0.03,0.613,3200,Light Disaster Utility (4WD),128.1,213.0,84.9,0.429,Steep Mountain Grade & Hairpin Bends
34.75,30.0,16.0,113.54,0.872,2100,4x4 Hill Freight Carrier,69.5,195.8,126.3,0.781,Torrential Rainfall & Reduced Visibility
135.96,15.0,14.5,24.0,0.217,1550,Heavy Supply Truck (16T),543.8,664.6,120.7,0.188,Standard Mountain Traffic Flow
38.1,30.0,16.0,39.07,0.612,2100,4x4 Hill Freight Carrier,76.2,141.5,65.3,0.487,Standard Mountain Traffic Flow
128.53,30.0,26.5,111.16,1.0,2450,4x4 Hill Freight Carrier,257.1,811.2,554.2,0.867,Torrential Rainfall & Reduced Visibility
414.52,45.0,18.0,12.54,0.542,1500,4x4 Hill Freight Carrier,552.7,936.0,383.3,0.398,Active Landslide Clearance / Road Blockage
477.13,33.8,21.0,11.92,0.657,1650,Heavy Supply Truck (16T),848.2,1740.9,892.6,0.478,Active Landslide Clearance / Road Blockage
188.81,45.0,6.0,15.01,0.338,320,Refrigerated Medical Van,251.7,327.9,76.1,0.259,Standard Mountain Traffic Flow
332.16,33.8,8.5,61.13,0.52,350,Heavy Supply Truck (16T),590.5,1062.3,471.8,0.456,Torrential Rainfall & Reduced Visibility
153.38,33.8,4.2,44.99,0.284,95,Heavy Supply Truck (16T),272.7,379.1,106.5,0.266,Standard Mountain Traffic Flow
170.69,33.8,6.0,5.43,0.26,320,Heavy Supply Truck (16T),303.5,354.6,51.1,0.19,Standard Mountain Traffic Flow
230.44,33.8,4.2,22.99,0.154,95,Heavy Supply Truck (16T),409.7,479.3,69.6,0.142,Standard Mountain Traffic Flow
92.93,23.0,14.5,1.27,0.211,1550,Light Disaster Utility (4WD),242.4,267.6,25.1,0.15,Standard Mountain Traffic Flow
100.49,15.0,14.5,24.61,0.299,1550,Heavy Supply Truck (16T),402.0,524.6,122.7,0.246,Standard Mountain Traffic Flow
353.53,45.0,8.5,91.8,0.691,350,Refrigerated Medical Van,471.4,1261.0,789.6,0.622,Active Landslide Clearance / Road Blockage
139.31,30.0,26.5,22.5,0.64,2450,4x4 Hill Freight Carrier,278.6,509.4,230.7,0.481,Steep Mountain Grade & Hairpin Bends
156.85,33.8,6.0,22.81,0.329,320,Heavy Supply Truck (16T),278.8,371.1,92.2,0.265,Standard Mountain Traffic Flow
74.1,23.0,31.4,27.53,0.81,4170,Light Disaster Utility (4WD),193.3,431.7,238.4,0.608,Steep Mountain Grade & Hairpin Bends
190.97,45.0,6.0,105.02,0.585,320,Refrigerated Medical Van,254.6,543.5,288.9,0.567,Torrential Rainfall & Reduced Visibility
707.04,45.0,21.0,76.76,0.932,1650,4x4 Hill Freight Carrier,942.7,2716.7,1774.0,0.768,Active Landslide Clearance / Road Blockage
68.4,33.8,12.8,29.3,0.54,240,Heavy Supply Truck (16T),121.6,203.5,81.9,0.422,Standard Mountain Traffic Flow
65.97,51.7,12.8,20.19,0.328,240,Light Disaster Utility (4WD),76.5,100.7,24.2,0.26,Standard Mountain Traffic Flow
48.87,30.0,16.0,6.6,0.424,2100,4x4 Hill Freight Carrier,97.7,134.4,36.6,0.307,Standard Mountain Traffic Flow
436.36,45.0,8.5,6.17,0.298,350,4x4 Hill Freight Carrier,581.8,705.3,123.5,0.218,Standard Mountain Traffic Flow
98.34,34.5,24.2,17.27,0.648,3200,Light Disaster Utility (4WD),171.0,311.1,140.0,0.479,Steep Mountain Grade & Hairpin Bends
176.88,51.7,4.2,24.5,0.246,95,Light Disaster Utility (4WD),205.1,256.4,51.3,0.209,Standard Mountain Traffic Flow
60.73,34.5,16.0,20.94,0.454,2100,Light Disaster Utility (4WD),105.6,157.5,51.8,0.349,Standard Mountain Traffic Flow
183.25,33.8,4.2,40.08,0.279,95,Heavy Supply Truck (16T),325.8,443.4,117.6,0.255,Standard Mountain Traffic Flow
160.49,33.8,6.0,75.97,0.497,320,Heavy Supply Truck (16T),285.3,523.2,237.9,0.462,Torrential Rainfall & Reduced Visibility
278.9,51.7,18.0,24.14,0.611,1500,Light Disaster Utility (4WD),323.4,594.6,271.2,0.464,Standard Mountain Traffic Flow
79.96,33.8,12.8,21.89,0.523,240,Heavy Supply Truck (16T),142.1,228.5,86.3,0.399,Standard Mountain Traffic Flow
66.42,45.0,12.8,8.1,0.247,240,Refrigerated Medical Van,88.6,103.6,15.0,0.185,Standard Mountain Traffic Flow
132.13,45.0,6.0,3.37,0.202,320,4x4 Hill Freight Carrier,176.2,195.0,18.8,0.146,Standard Mountain Traffic Flow
298.04,45.0,22.0,8.23,0.684,1400,Refrigerated Medical Van,397.4,929.6,532.2,0.491,Active Landslide Clearance / Road Blockage
150.12,33.8,4.2,25.8,0.153,95,Heavy Supply Truck (16T),266.9,315.8,49.0,0.146,Standard Mountain Traffic Flow
84.81,22.5,26.5,1.11,0.643,2450,Heavy Supply Truck (16T),226.2,391.0,164.8,0.452,Steep Mountain Grade & Hairpin Bends
76.73,30.0,24.2,16.43,0.675,3200,Refrigerated Medical Van,153.5,339.9,186.4,0.497,Active Landslide Clearance / Road Blockage
60.18,33.8,12.8,25.86,0.361,240,Heavy Supply Truck (16T),107.0,148.1,41.2,0.291,Standard Mountain Traffic Flow
181.72,33.8,4.2,3.38,0.173,95,Heavy Supply Truck (16T),323.0,350.4,27.4,0.126,Standard Mountain Traffic Flow
101.45,30.0,26.5,3.14,0.673,2450,4x4 Hill Freight Carrier,202.9,465.6,262.7,0.475,Active Landslide Clearance / Road Blockage
266.93,45.0,22.0,18.24,0.763,1400,Refrigerated Medical Van,355.9,738.4,382.5,0.562,Steep Mountain Grade & Hairpin Bends
61.42,45.0,12.8,42.54,0.472,240,Refrigerated Medical Van,81.9,133.2,51.3,0.394,Standard Mountain Traffic Flow
138.94,22.5,26.5,1.74,0.529,2450,Heavy Supply Truck (16T),370.5,562.3,191.8,0.373,Steep Mountain Grade & Hairpin Bends
245.09,45.0,22.0,73.19,0.989,1400,Refrigerated Medical Van,326.8,959.0,632.2,0.802,Torrential Rainfall & Reduced Visibility
526.4,51.7,21.0,12.61,0.761,1650,Light Disaster Utility (4WD),610.3,1245.6,635.3,0.551,Steep Mountain Grade & Hairpin Bends
216.45,45.0,6.0,24.58,0.271,320,4x4 Hill Freight Carrier,288.6,368.2,79.6,0.227,Standard Mountain Traffic Flow
43.81,45.0,12.8,99.47,0.75,240,4x4 Hill Freight Carrier,58.4,143.1,84.7,0.674,Torrential Rainfall & Reduced Visibility
189.37,45.0,4.2,27.73,0.243,95,4x4 Hill Freight Carrier,252.5,319.1,66.6,0.211,Standard Mountain Traffic Flow
78.45,51.7,12.8,25.72,0.426,240,Light Disaster Utility (4WD),91.0,134.0,43.0,0.337,Standard Mountain Traffic Flow
190.98,51.7,22.0,26.15,0.73,1400,Light Disaster Utility (4WD),221.4,667.8,446.3,0.55,Active Landslide Clearance / Road Blockage
122.9,20.0,14.5,68.85,0.527,1550,Refrigerated Medical Van,368.7,681.7,313.0,0.472,Torrential Rainfall & Reduced Visibility
191.65,45.0,6.0,4.22,0.187,320,4x4 Hill Freight Carrier,255.5,281.0,25.4,0.137,Standard Mountain Traffic Flow
308.78,51.7,22.0,42.86,0.79,1400,Light Disaster Utility (4WD),358.0,986.2,628.2,0.617,Active Landslide Clearance / Road Blockage
99.05,23.0,14.5,6.1,0.196,1550,Light Disaster Utility (4WD),258.4,288.3,29.9,0.147,Standard Mountain Traffic Flow
170.53,33.8,4.2,28.76,0.316,95,Heavy Supply Truck (16T),303.2,407.8,104.6,0.264,Standard Mountain Traffic Flow
51.35,20.0,31.4,11.84,0.709,4170,Refrigerated Medical Van,154.1,532.8,378.8,0.514,Active Landslide Clearance / Road Blockage
146.69,45.0,6.0,4.19,0.232,320,4x4 Hill Freight Carrier,195.6,222.2,26.6,0.168,Standard Mountain Traffic Flow
146.08,45.0,6.0,43.97,0.48,320,Refrigerated Medical Van,194.8,320.7,125.9,0.402,Standard Mountain Traffic Flow
439.94,33.8,21.0,1.05,0.509,1650,Heavy Supply Truck (16T),782.1,1156.8,374.7,0.358,Steep Mountain Grade & Hairpin Bends
600.52,45.0,21.0,50.89,0.847,1650,4x4 Hill Freight Carrier,800.7,2074.3,1273.6,0.669,Active Landslide Clearance / Road Blockage
214.01,51.7,6.0,4.31,0.241,320,Light Disaster Utility (4WD),248.1,284.2,36.0,0.175,Standard Mountain Traffic Flow
139.66,22.5,26.5,41.76,0.755,2450,Heavy Supply Truck (16T),372.4,925.7,553.3,0.591,Active Landslide Clearance / Road Blockage
139.85,34.5,26.5,9.67,0.64,2450,Light Disaster Utility (4WD),243.2,429.0,185.8,0.462,Steep Mountain Grade & Hairpin Bends
99.12,22.5,26.5,36.2,0.755,2450,Heavy Supply Truck (16T),264.3,566.9,302.6,0.583,Steep Mountain Grade & Hairpin Bends
102.72,30.0,24.2,1.98,0.598,3200,4x4 Hill Freight Carrier,205.4,337.9,132.5,0.422,Steep Mountain Grade & Hairpin Bends
66.41,15.0,31.4,9.97,0.827,4170,Heavy Supply Truck (16T),265.6,816.5,550.9,0.594,Active Landslide Clearance / Road Blockage
340.49,51.7,8.5,48.56,0.519,350,Light Disaster Utility (4WD),394.8,684.3,289.5,0.436,Standard Mountain Traffic Flow
46.38,22.5,16.0,61.1,0.591,2100,Heavy Supply Truck (16T),123.7,238.1,114.5,0.505,Torrential Rainfall & Reduced Visibility
458.62,51.7,18.0,15.01,0.525,1500,Light Disaster Utility (4WD),531.7,881.1,349.3,0.39,Active Landslide Clearance / Road Blockage
238.91,51.7,22.0,40.69,0.801,1400,Light Disaster Utility (4WD),277.0,708.1,431.1,0.621,Active Landslide Clearance / Road Blockage
225.4,33.8,22.0,15.32,0.617,1400,Heavy Supply Truck (16T),400.7,717.6,316.9,0.455,Steep Mountain Grade & Hairpin Bends
118.41,15.0,14.5,64.71,0.454,1550,Heavy Supply Truck (16T),473.7,810.0,336.4,0.415,Torrential Rainfall & Reduced Visibility
225.23,33.8,4.2,16.31,0.13,95,Heavy Supply Truck (16T),400.4,449.4,49.0,0.116,Standard Mountain Traffic Flow
445.32,45.0,18.0,15.87,0.571,1500,Refrigerated Medical Van,593.8,987.7,393.9,0.424,Standard Mountain Traffic Flow
410.95,45.0,8.5,32.48,0.41,350,4x4 Hill Freight Carrier,547.9,813.1,265.2,0.336,Standard Mountain Traffic Flow
177.78,45.0,22.0,13.78,0.702,1400,Refrigerated Medical Van,237.0,597.0,360.0,0.512,Active Landslide Clearance / Road Blockage
255.78,45.0,4.2,37.9,0.288,95,4x4 Hill Freight Carrier,341.0,463.9,122.9,0.259,Standard Mountain Traffic Flow
259.6,45.0,22.0,47.96,0.835,1400,Refrigerated Medical Van,346.1,967.3,621.2,0.657,Active Landslide Clearance / Road Blockage
369.23,51.7,18.0,102.07,0.984,1500,Light Disaster Utility (4WD),428.1,1311.4,883.3,0.842,Torrential Rainfall & Reduced Visibility
100.47,34.5,24.2,2.61,0.627,3200,Light Disaster Utility (4WD),174.7,315.9,141.2,0.443,Steep Mountain Grade & Hairpin Bends
183.64,45.0,6.0,16.2,0.341,320,4x4 Hill Freight Carrier,244.9,321.2,76.4,0.263,Standard Mountain Traffic Flow
251.77,45.0,4.2,6.84,0.159,95,Refrigerated Medical Van,335.7,366.7,31.0,0.121,Standard Mountain Traffic Flow
65.38,30.0,24.2,107.1,1.0,3200,Refrigerated Medical Van,130.8,555.0,424.2,0.861,Active Landslide Clearance / Road Blockage
78.28,22.5,24.2,19.01,0.674,3200,Heavy Supply Truck (16T),208.8,475.5,266.8,0.501,Active Landslide Clearance / Road Blockage
85.47,34.5,26.5,10.61,0.662,2450,Light Disaster Utility (4WD),148.6,466.9,318.2,0.479,Active Landslide Clearance / Road Blockage
610.27,51.7,21.0,7.74,0.607,1650,Light Disaster Utility (4WD),707.6,1252.9,545.3,0.436,Active Landslide Clearance / Road Blockage
358.84,45.0,18.0,133.0,1.0,1500,4x4 Hill Freight Carrier,478.5,1701.8,1223.3,0.899,Active Landslide Clearance / Road Blockage
90.69,20.0,14.5,66.53,0.537,1550,4x4 Hill Freight Carrier,272.1,504.6,232.6,0.476,Torrential Rainfall & Reduced Visibility
62.52,30.0,16.0,1.54,0.369,2100,Refrigerated Medical Van,125.0,178.6,53.6,0.261,Standard Mountain Traffic Flow
127.82,15.0,14.5,9.93,0.215,1550,Heavy Supply Truck (16T),511.3,588.0,76.7,0.165,Standard Mountain Traffic Flow
189.74,33.8,6.0,16.78,0.232,320,Heavy Supply Truck (16T),337.3,404.4,67.1,0.187,Standard Mountain Traffic Flow
